id,name,institution_id,Institution (INFO),Country (INFO)
211,Complex Systems Research Center,382,University New Hampshire,USA
212,Agricultural Department,396,Wageningen University,The Netherlands
213,Centro de Investigacion de Recursos Naturales,407,Instituto Nacional de Tecnologia Agropecuaria (INTA),Argentina
214,Natural Resources Institute,413,University of Greenwich,United Kingdom
215,Joint Global Change Research Institute,414,University of Maryland,USA
216,National Oceanography Centre Southampton,421,University of Southampton,United Kingdom
217,Coastal Zone Management Unit,423,University of the West Indies,Barbados
218,Department of Geosciences,424,University of Oslo,Norway
219,Centre for Advanced Study,424,University of Oslo,Norway
220,Geophysics,424,University of Oslo,Norway
221,Centre for International Climate and Environmental Research-Oslo (CICERO),424,University of Oslo,Norway
222,International Institute for Industrial Environmental Economics,425,Lund University,Sweden
223,Institute for Climate Change and Adaptation,427,University of Nairobi,Kenya
224,Department of Geology,427,University of Nairobi,Kenya
225,Woodrow Wilson School of Public and International Affairs,428,Princeton University,USA
226,Institute for the Study of Planet Earth,430,University of Arizona,USA
227,Marine Hydrophysical Institute,439,National Academy of Sciences,Ukraine
228,"Division of Water, Environment and Forest Technology",454,Council for Scientific and Industrial Research (CSIR),South Africa
229,Laboratory of Forestry Economics,456,Institut National de la Recherche Agronomique (INRA),France
230,Institute of Environmental Science and Technology,474,University of Barcelona,Spain
231,Faculty of Engineering & Architecture,487,University of Khartoum,Sudan
232,Dept. of Petroleum Engineering,487,University of Khartoum,Sudan
233,Department of Earth Sciences,504,University of Southern California,USA
234,School of Earth and Atmospheric Sciences,509,Georgia Institute of Technology,USA
235,Dept. of Environmental Science and Engineering,516,Tsinghua University,China
236,The Joint Graduate School of Energy and Environment,545,King Mongkut's University of Technology,Thailand
237,Centre for Polar Observation and Modelling,638,University College London,United Kingdom
238,Dept of Economics & Bren School,640,University of California Santa Barbara,USA
239,Dept. of  Environmental Sciences and Policy,647,Central European University,Hungary
240,UFSIA,649,University of Antwerp,Belgium
241,Nicholas School for the Environment and Earth Sciences,652,Duke University,USA
242,Department of Global Ecology,667,Carnegie Institute of Washington,USA
243,School of Natural Sciences,669,Univerity of California Merced,USA
244,Department of Biology Faculty of Science,670,Ramkhamhaeng University,Thailand
245,Center for Space Research,252,University of Texas-Austin,USA
246,Department of Physics,675,University of the West Indies,Jamaica
247,Maritimes Region of the Department of Fisheries and Oceans,676,Fisheries and Oceans Canada,Canada
248,Freshwater Institute,676,Fisheries and Oceans Canada,Canada
249,Environment Institute,679,European Commission Joint Research Centre,Italy
250,Arctic Environment Research Center,690,National Institute of Polar Research,Japan
251,Department Climate and Environment,694,Deutscher Wetterdienst,Germany
252,Department of Earth and Atmospheric Science,695,Purdue University,USA
253,"Physical Oceanography Laboratry,Department of Geophysics, Graduate School of Science",698,Tohoku Gakuin University,Japan
254,School of Earth Ocean and Planetary Science,699,Cardiff University,United Kingdom
255,Department of Physical Geography and Quaternary Geology,701,Stockholm University,Sweden
256,Department of Meteorology,701,Stockholm University,Sweden
257,Department of Water Resources,704,Department of Water Resources,The Gambia
258,Climate Research Laboratory,712,"Meteorological Research Institute (METRI),Korean Meteorological Administration",South Korea
259,Departement des Sciences de la Terra et de l'Atmosphere,714,University of Quebec at Montreal,Canada
260,Marine Environment Laboratories,727,International Atomic Energy Agency (IAEA),Monaco
261,Department of Geography,738,University of Georgia,USA
262,Department of Earth and Atmospheric Science,747,State University of New York Albany,USA
263,Departmento de Dendrocronologia e Historia Ambiental,748,"Instituto Argentino de Nivología,Glaciología y Ciencias Ambientales",Argentina
264,School of Environmental Sciences,762,Jawaharlal Nehru University,India
265,Canadian Forest Service,790,Natural Resources Canada,Canada
266,Northern Forest Centre,790,Natural Resources Canada,Canada
267,Instituto Multidisciplinario de Biologia Vegetal (IMBIV),793,Universidad Nacional de Córdoba,Argentina
268,National Agrarian Institute,828,University of Ukraine,Ukraine
269,Regional Office for Europe,839,World Health Organization (WHO),Germany
270,Co-operative Programme on Water and Climate,889,UNESCO,The Netherlands
271,Climatology Laboratory,913,Bogor Agricultural University,Indonesia
272,The Fletcher School of Law and Diplomacy,962,Tufts University,USA
273,The Maxwell School,976,Syracuse University,USA
274,All-Russian Institute of Agrochemistry,981,Russian Academy of Agricultural Sciences,Russian Federation
275,All-Russian Research Institute For Agricultural Meteorology,981,Russian Academy of Agricultural Sciences,Russian Federation
276,Division of Policy Development and Law,996,United Nations Environment Programme (UNEP),Kenya
277,LMCE/DSM,1018,CEA,France
278,Departamento de Entomologia,1095,Instituto Oswaldo Cruz,Argentina
279,Office for Interdisciplinary Earth Studies,1103,University Corporation for Atmospheric Research (UCAR),USA
280,Environmental Research Institute of the Supervising Scientist (ERISS),1106,Environment Australia,Australia
281,Greenhouse Gas R&D Programme,1160,International Energy Agency,United Kingdom
282,Coal Research,1160,International Energy Agency,United Kingdom
283,Deacon Labotatory,1225,Institute of Oceanographic Sciences,United Kingdom
284,Crittenton Hall,1228,Old Dominion University,USA
285,Department of the Environment,1390,Global Atmosphere Division,United Kingdom
286,Windermere Laboratory,1402,Institute of Freshwater Ecology,United Kingdom
