Country,Role,AR,WG,Total Country Authors,Total Authors,Percentage of Authors in Country
Austria,Review Editor,3,2,0,34,0.0000
Austria,Review Editor,3,3,0,19,0.0000
Austria,Review Editor,4,1,0,26,0.0000
Austria,Review Editor,4,2,0,46,0.0000
Austria,Review Editor,4,3,0,26,0.0000
Austria,Review Editor,5,1,0,50,0.0000
Austria,Review Editor,5,2,2,66,3.0303
Austria,Review Editor,5,3,2,36,5.5556
Austria,Contributing Author,1,1,0,29,0.0000
Austria,Contributing Author,1,2,0,147,0.0000
Austria,Contributing Author,1,3,0,9,0.0000
Austria,Contributing Author,2,1,0,352,0.0000
Austria,Contributing Author,2,2,4,294,1.3605
Austria,Contributing Author,2,3,0,28,0.0000
Austria,Contributing Author,3,1,3,518,0.5792
Austria,Contributing Author,3,2,0,232,0.0000
Austria,Contributing Author,3,3,1,71,1.4085
Austria,Contributing Author,4,1,1,496,0.2016
Austria,Contributing Author,4,2,3,217,1.3825
Austria,Contributing Author,4,3,4,84,4.7619
Austria,Contributing Author,5,1,5,603,0.8292
Austria,Contributing Author,5,2,3,386,0.7772
Bangladesh,Coordinating Lead Author,1,1,0,34,0.0000
Bangladesh,Coordinating Lead Author,1,2,0,13,0.0000
Bangladesh,Coordinating Lead Author,1,3,0,19,0.0000
Bangladesh,Coordinating Lead Author,2,1,0,15,0.0000
Bangladesh,Coordinating Lead Author,2,2,0,43,0.0000
Bangladesh,Coordinating Lead Author,2,3,0,12,0.0000
Bangladesh,Coordinating Lead Author,3,1,0,23,0.0000
Bangladesh,Coordinating Lead Author,3,2,1,42,2.3810
Bangladesh,Coordinating Lead Author,3,3,0,20,0.0000
Bangladesh,Coordinating Lead Author,4,1,0,25,0.0000
Bangladesh,Coordinating Lead Author,4,2,0,51,0.0000
Bangladesh,Coordinating Lead Author,4,3,0,25,0.0000
Bangladesh,Coordinating Lead Author,5,1,0,29,0.0000
Bangladesh,Coordinating Lead Author,5,2,1,64,1.5625
Bangladesh,Coordinating Lead Author,5,3,0,34,0.0000
Bangladesh,Lead Author,1,1,0,214,0.0000
Bangladesh,Lead Author,1,2,0,11,0.0000
Bangladesh,Lead Author,1,3,0,43,0.0000
Bangladesh,Lead Author,2,1,0,84,0.0000
Bangladesh,Lead Author,2,2,0,287,0.0000
Bangladesh,Lead Author,2,3,1,65,1.5385
Bangladesh,Lead Author,3,1,0,137,0.0000
Bangladesh,Lead Author,3,2,2,184,1.0870
Bangladesh,Lead Author,3,3,1,139,0.7194
Bangladesh,Lead Author,4,1,0,139,0.0000
Bangladesh,Lead Author,4,2,4,197,2.0305
Bangladesh,Lead Author,4,3,0,175,0.0000
Bangladesh,Lead Author,5,1,0,195,0.0000
Bangladesh,Lead Author,5,2,1,236,0.4237
Bangladesh,Lead Author,5,3,2,243,0.8230
Bangladesh,Review Editor,3,1,0,21,0.0000
Bangladesh,Review Editor,3,2,0,34,0.0000
Bangladesh,Review Editor,3,3,0,19,0.0000
Bangladesh,Review Editor,4,1,0,26,0.0000
Bangladesh,Review Editor,4,2,0,46,0.0000
Bangladesh,Review Editor,4,3,0,26,0.0000
Bangladesh,Review Editor,5,1,0,50,0.0000
Bangladesh,Review Editor,5,2,0,66,0.0000
Bangladesh,Review Editor,5,3,0,36,0.0000
Bangladesh,Contributing Author,1,1,0,29,0.0000
Bangladesh,Contributing Author,1,2,0,147,0.0000
Bangladesh,Contributing Author,1,3,0,9,0.0000
Bangladesh,Contributing Author,2,1,0,352,0.0000
Bangladesh,Contributing Author,2,2,0,294,0.0000
Bangladesh,Contributing Author,2,3,0,28,0.0000
Bangladesh,Contributing Author,3,1,0,518,0.0000
Bangladesh,Contributing Author,3,2,0,232,0.0000
Bangladesh,Contributing Author,3,3,0,71,0.0000
Bangladesh,Contributing Author,4,1,0,496,0.0000
Bangladesh,Contributing Author,4,2,0,217,0.0000
Bangladesh,Contributing Author,4,3,0,84,0.0000
Bangladesh,Contributing Author,5,1,0,603,0.0000
Bangladesh,Contributing Author,5,2,1,386,0.2591
Barbados,Coordinating Lead Author,1,1,0,34,0.0000
Barbados,Coordinating Lead Author,1,2,0,13,0.0000
Barbados,Coordinating Lead Author,1,3,0,19,0.0000
Barbados,Coordinating Lead Author,2,1,0,15,0.0000
Barbados,Coordinating Lead Author,2,2,0,43,0.0000
Barbados,Coordinating Lead Author,2,3,0,12,0.0000
Barbados,Coordinating Lead Author,3,1,0,23,0.0000
Barbados,Coordinating Lead Author,3,2,1,42,2.3810
Barbados,Coordinating Lead Author,3,3,0,20,0.0000
Barbados,Coordinating Lead Author,4,1,0,25,0.0000
Barbados,Coordinating Lead Author,4,2,1,51,1.9608
Barbados,Coordinating Lead Author,4,3,0,25,0.0000
Barbados,Coordinating Lead Author,5,1,0,29,0.0000
Barbados,Coordinating Lead Author,5,2,1,64,1.5625
Barbados,Coordinating Lead Author,5,3,0,34,0.0000
Barbados,Lead Author,1,1,0,214,0.0000
Barbados,Lead Author,1,2,0,11,0.0000
Barbados,Lead Author,1,3,0,43,0.0000
Barbados,Lead Author,2,1,0,84,0.0000
Barbados,Lead Author,2,2,1,287,0.3484
Barbados,Lead Author,2,3,0,65,0.0000
Barbados,Lead Author,3,1,0,137,0.0000
Barbados,Lead Author,3,2,1,184,0.5435
Barbados,Lead Author,3,3,0,139,0.0000
Barbados,Lead Author,4,1,0,139,0.0000
Barbados,Lead Author,4,2,1,197,0.5076
Barbados,Lead Author,4,3,0,175,0.0000
Barbados,Lead Author,5,1,0,195,0.0000
Barbados,Lead Author,5,2,2,236,0.8475
Barbados,Lead Author,5,3,0,243,0.0000
Barbados,Review Editor,3,1,0,21,0.0000
Barbados,Review Editor,3,2,0,34,0.0000
Barbados,Review Editor,3,3,0,19,0.0000
Barbados,Review Editor,4,1,0,26,0.0000
Barbados,Review Editor,4,2,0,46,0.0000
Barbados,Review Editor,4,3,0,26,0.0000
Barbados,Review Editor,5,1,0,50,0.0000
Barbados,Review Editor,5,2,0,66,0.0000
Barbados,Review Editor,5,3,0,36,0.0000
Barbados,Contributing Author,1,1,0,29,0.0000
Barbados,Contributing Author,1,2,0,147,0.0000
Barbados,Contributing Author,1,3,0,9,0.0000
Barbados,Contributing Author,2,1,0,352,0.0000
Barbados,Contributing Author,2,2,0,294,0.0000
Barbados,Contributing Author,2,3,0,28,0.0000
Barbados,Contributing Author,3,1,0,518,0.0000
Barbados,Contributing Author,3,2,0,232,0.0000
Barbados,Contributing Author,3,3,0,71,0.0000
Barbados,Contributing Author,4,1,0,496,0.0000
Barbados,Contributing Author,4,2,0,217,0.0000
Barbados,Contributing Author,4,3,0,84,0.0000
Barbados,Contributing Author,5,1,0,603,0.0000
Barbados,Contributing Author,5,2,0,386,0.0000
Belgium,Coordinating Lead Author,1,1,0,34,0.0000
Belgium,Coordinating Lead Author,1,2,0,13,0.0000
Belgium,Coordinating Lead Author,1,3,0,19,0.0000
Belgium,Coordinating Lead Author,2,1,0,15,0.0000
Belgium,Coordinating Lead Author,2,2,0,43,0.0000
Belgium,Coordinating Lead Author,2,3,0,12,0.0000
Belgium,Coordinating Lead Author,3,1,0,23,0.0000
Belgium,Coordinating Lead Author,3,2,0,42,0.0000
Belgium,Coordinating Lead Author,3,3,0,20,0.0000
Belgium,Coordinating Lead Author,4,1,0,25,0.0000
Belgium,Coordinating Lead Author,4,2,0,51,0.0000
Belgium,Coordinating Lead Author,4,3,0,25,0.0000
Belgium,Coordinating Lead Author,5,1,0,29,0.0000
Belgium,Coordinating Lead Author,5,2,0,64,0.0000
Belgium,Coordinating Lead Author,5,3,0,34,0.0000
Belgium,Lead Author,1,1,3,214,1.4019
Belgium,Lead Author,1,2,0,11,0.0000
Belgium,Lead Author,1,3,1,43,2.3256
Belgium,Lead Author,2,1,0,84,0.0000
Belgium,Lead Author,2,2,0,287,0.0000
Belgium,Lead Author,2,3,0,65,0.0000
Belgium,Lead Author,3,1,1,137,0.7299
Belgium,Lead Author,3,2,2,184,1.0870
Belgium,Lead Author,3,3,1,139,0.7194
Belgium,Lead Author,4,1,1,139,0.7194
Belgium,Lead Author,4,2,2,197,1.0152
Belgium,Lead Author,4,3,1,175,0.5714
Belgium,Lead Author,5,1,1,195,0.5128
Belgium,Lead Author,5,2,0,236,0.0000
Belgium,Lead Author,5,3,0,243,0.0000
Belgium,Review Editor,3,1,0,21,0.0000
Belgium,Review Editor,3,2,0,34,0.0000
Belgium,Review Editor,3,3,0,19,0.0000
Belgium,Review Editor,4,1,0,26,0.0000
Belgium,Review Editor,4,2,2,46,4.3478
Belgium,Review Editor,4,3,1,26,3.8462
Belgium,Review Editor,5,1,1,50,2.0000
Belgium,Review Editor,5,2,1,66,1.5152
Belgium,Review Editor,5,3,1,36,2.7778
Belgium,Contributing Author,1,1,0,29,0.0000
Belgium,Contributing Author,1,2,1,147,0.6803
Belgium,Contributing Author,1,3,0,9,0.0000
Belgium,Contributing Author,2,1,0,352,0.0000
Belgium,Contributing Author,2,2,1,294,0.3401
Belgium,Contributing Author,2,3,0,28,0.0000
Belgium,Contributing Author,3,1,3,518,0.5792
Belgium,Contributing Author,3,2,1,232,0.4310
Belgium,Contributing Author,3,3,0,71,0.0000
Belgium,Contributing Author,4,1,6,496,1.2097
Belgium,Contributing Author,4,2,1,217,0.4608
Belgium,Contributing Author,4,3,0,84,0.0000
Belgium,Contributing Author,5,1,8,603,1.3267
Belgium,Contributing Author,5,2,0,386,0.0000
Belize,Coordinating Lead Author,1,1,0,34,0.0000
Belize,Coordinating Lead Author,1,2,0,13,0.0000
Belize,Coordinating Lead Author,1,3,0,19,0.0000
Belize,Coordinating Lead Author,2,1,0,15,0.0000
Belize,Coordinating Lead Author,2,2,0,43,0.0000
Belize,Coordinating Lead Author,2,3,0,12,0.0000
Belize,Coordinating Lead Author,3,1,0,23,0.0000
Belize,Coordinating Lead Author,3,2,0,42,0.0000
Belize,Coordinating Lead Author,3,3,0,20,0.0000
Belize,Coordinating Lead Author,4,1,0,25,0.0000
Belize,Coordinating Lead Author,4,2,0,51,0.0000
Belize,Coordinating Lead Author,4,3,0,25,0.0000
Belize,Coordinating Lead Author,5,1,0,29,0.0000
Belize,Coordinating Lead Author,5,2,0,64,0.0000
Belize,Coordinating Lead Author,5,3,0,34,0.0000
Belize,Lead Author,1,1,0,214,0.0000
Belize,Lead Author,1,2,0,11,0.0000
Belize,Lead Author,1,3,0,43,0.0000
Belize,Lead Author,2,1,0,84,0.0000
Belize,Lead Author,2,2,0,287,0.0000
Belize,Lead Author,2,3,0,65,0.0000
Belize,Lead Author,3,1,0,137,0.0000
Belize,Lead Author,3,2,0,184,0.0000
Belize,Lead Author,3,3,0,139,0.0000
Belize,Lead Author,4,1,0,139,0.0000
Belize,Lead Author,4,2,0,197,0.0000
Belize,Lead Author,4,3,0,175,0.0000
Belize,Lead Author,5,1,0,195,0.0000
Belize,Lead Author,5,2,0,236,0.0000
Belize,Lead Author,5,3,0,243,0.0000
Belize,Review Editor,3,1,0,21,0.0000
Belize,Review Editor,3,2,0,34,0.0000
Belize,Review Editor,3,3,0,19,0.0000
Belize,Review Editor,4,1,0,26,0.0000
Belize,Review Editor,4,2,1,46,2.1739
Belize,Review Editor,4,3,0,26,0.0000
Belize,Review Editor,5,1,0,50,0.0000
Belize,Review Editor,5,2,0,66,0.0000
Belize,Review Editor,5,3,0,36,0.0000
Belize,Contributing Author,1,1,0,29,0.0000
Belize,Contributing Author,1,2,0,147,0.0000
Belize,Contributing Author,1,3,0,9,0.0000
Belize,Contributing Author,2,1,0,352,0.0000
Belize,Contributing Author,2,2,0,294,0.0000
Belize,Contributing Author,2,3,0,28,0.0000
Belize,Contributing Author,3,1,0,518,0.0000
Belize,Contributing Author,3,2,0,232,0.0000
Belize,Contributing Author,3,3,0,71,0.0000
Belize,Contributing Author,4,1,0,496,0.0000
Belize,Contributing Author,4,2,0,217,0.0000
Belize,Contributing Author,4,3,0,84,0.0000
Belize,Contributing Author,5,1,0,603,0.0000
Belize,Contributing Author,5,2,0,386,0.0000
Benin,Coordinating Lead Author,1,1,0,34,0.0000
Benin,Coordinating Lead Author,1,2,0,13,0.0000
Benin,Coordinating Lead Author,1,3,0,19,0.0000
Benin,Coordinating Lead Author,2,1,0,15,0.0000
Benin,Coordinating Lead Author,2,2,0,43,0.0000
Benin,Coordinating Lead Author,2,3,0,12,0.0000
Benin,Coordinating Lead Author,3,1,0,23,0.0000
Benin,Coordinating Lead Author,3,2,0,42,0.0000
Benin,Coordinating Lead Author,3,3,0,20,0.0000
Benin,Coordinating Lead Author,4,1,0,25,0.0000
Benin,Coordinating Lead Author,4,2,0,51,0.0000
Benin,Coordinating Lead Author,4,3,0,25,0.0000
Benin,Coordinating Lead Author,5,1,0,29,0.0000
Benin,Coordinating Lead Author,5,2,0,64,0.0000
Benin,Coordinating Lead Author,5,3,0,34,0.0000
Benin,Lead Author,1,1,0,214,0.0000
Benin,Lead Author,1,2,0,11,0.0000
Benin,Lead Author,1,3,0,43,0.0000
Benin,Lead Author,2,1,0,84,0.0000
Benin,Lead Author,2,2,1,287,0.3484
Benin,Lead Author,2,3,0,65,0.0000
Benin,Lead Author,3,1,1,137,0.7299
Benin,Lead Author,3,2,0,184,0.0000
Benin,Lead Author,3,3,0,139,0.0000
Benin,Lead Author,4,1,0,139,0.0000
Benin,Lead Author,4,2,0,197,0.0000
Benin,Lead Author,4,3,0,175,0.0000
Benin,Lead Author,5,1,0,195,0.0000
Benin,Lead Author,5,2,0,236,0.0000
Benin,Lead Author,5,3,0,243,0.0000
Benin,Review Editor,3,1,0,21,0.0000
Benin,Review Editor,3,2,0,34,0.0000
Benin,Review Editor,3,3,0,19,0.0000
Benin,Review Editor,4,1,0,26,0.0000
Benin,Review Editor,4,2,0,46,0.0000
Benin,Review Editor,4,3,0,26,0.0000
Benin,Review Editor,5,1,0,50,0.0000
Benin,Review Editor,5,2,0,66,0.0000
Benin,Review Editor,5,3,0,36,0.0000
Benin,Contributing Author,1,1,0,29,0.0000
Benin,Contributing Author,1,2,1,147,0.6803
Benin,Contributing Author,1,3,0,9,0.0000
Benin,Contributing Author,2,1,0,352,0.0000
Benin,Contributing Author,2,2,1,294,0.3401
Benin,Contributing Author,2,3,0,28,0.0000
Benin,Contributing Author,3,1,0,518,0.0000
Benin,Contributing Author,3,2,0,232,0.0000
Benin,Contributing Author,3,3,0,71,0.0000
Benin,Contributing Author,4,1,0,496,0.0000
Benin,Contributing Author,4,2,1,217,0.4608
Benin,Contributing Author,4,3,0,84,0.0000
Benin,Contributing Author,5,1,0,603,0.0000
Benin,Contributing Author,5,2,0,386,0.0000
Bermuda,Coordinating Lead Author,1,1,0,34,0.0000
Bermuda,Coordinating Lead Author,1,2,0,13,0.0000
Bermuda,Coordinating Lead Author,1,3,0,19,0.0000
