Country,AR,Cumulated WG,Total Country Participations,% Country Participations,Total Participations
China,3,WG1+2,1,3.4483,29
China,3,WG2,6,1.6620,361
China,3,WG3,9,4.4554,202
China,4,WG1,17,2.9160,583
China,4,WG2,12,3.2000,375
China,4,WG3,15,5.8824,255
China,5,WG1,24,3.1915,752
China,5,WG1+2,1,4.0000,25
China,5,WG2,17,2.6814,634
China,5,WG3,14,5.3232,263
Colombia,5,WG2,4,0.6309,634
Colombia,5,WG3,1,0.3802,263
Costa Rica,1,WG2,1,0.6536,153
Costa Rica,3,WG2,1,0.2770,361
Costa Rica,4,WG2,1,0.2667,375
Costa Rica,5,WG2,2,0.3155,634
Costa Rica,5,WG3,1,0.3802,263
Cuba,2,WG2,3,0.5906,508
Cuba,3,WG2,1,0.2770,361
Cuba,3,WG3,2,0.9901,202
Cuba,4,WG2,1,0.2667,375
Cuba,4,WG3,4,1.5686,255
Cuba,5,WG2,1,0.1577,634
Cuba,5,WG3,5,1.9011,263
Czech Republic,1,WG2,1,0.6536,153
Czech Republic,3,WG1,1,0.1773,564
Czech Republic,4,WG2,1,0.2667,375
Denmark,1,WG1,3,1.2876,233
Denmark,2,WG1,1,0.2604,384
Denmark,2,WG1+2,1,4.0000,25
Denmark,2,WG2,4,0.7874,508
Denmark,2,WG3,1,1.2346,81
Denmark,3,WG1,2,0.3546,564
Denmark,3,WG1+3,1,16.6667,6
Denmark,3,WG3,2,0.9901,202
Denmark,4,WG1,1,0.1715,583
Denmark,4,WG2,3,0.8000,375
Denmark,4,WG3,4,1.5686,255
Denmark,5,WG1,7,0.9309,752
Denmark,5,WG2,1,0.1577,634
Denmark,5,WG3,3,1.1407,263
Ecuador,4,WG3,1,0.3922,255
Egypt,4,WG2,2,0.5333,375
Egypt,5,WG2,2,0.3155,634
Egypt,5,WG3,2,0.7605,263
Ethiopia,1,WG1+2,1,9.0909,11
Ethiopia,5,WG2,1,0.1577,634
Fiji,2,WG2,1,0.1969,508
Fiji,4,WG2,1,0.2667,375
Fiji,5,WG2,2,0.3155,634
Fiji,5,WG3,1,0.3802,263
Finland,1,WG1,1,0.4292,233
Finland,1,WG2,1,0.6536,153
Finland,2,WG1,1,0.2604,384
Finland,2,WG2,8,1.5748,508
Finland,3,WG1,2,0.3546,564
Finland,3,WG1+2,1,3.4483,29
Finland,3,WG2,2,0.5540,361
Finland,3,WG3,2,0.9901,202
Finland,4,WG1,1,0.1715,583
Finland,4,WG2,3,0.8000,375
Finland,4,WG3,4,1.5686,255
Finland,5,WG1,3,0.3989,752
Finland,5,WG2,6,0.9464,634
Finland,5,WG3,1,0.3802,263
France,1,WG1,8,3.4335,233
France,1,WG3,4,6.6667,60
France,2,WG1,12,3.1250,384
France,2,WG2,16,3.1496,508
France,2,WG3,5,6.1728,81
France,3,WG1,26,4.6099,564
France,3,WG2,2,0.5540,361
France,3,WG3,6,2.9703,202
France,4,WG1,36,6.1750,583
France,4,WG1+2,1,3.2258,31
France,4,WG2,9,2.4000,375
France,4,WG2+3,2,11.7647,17
France,4,WG3,10,3.9216,255
France,5,WG1,42,5.5851,752
France,5,WG2,21,3.3123,634
France,5,WG3,6,2.2814,263
Germany,1,WG1,16,6.8670,233
Germany,1,WG2,3,1.9608,153
Germany,2,WG1,30,7.8125,384
Germany,2,WG2,22,4.3307,508
Germany,2,WG3,1,1.2346,81
Germany,3,WG1,60,10.6383,564
Germany,3,WG1+2,2,6.8966,29
Germany,3,WG2,8,2.2161,361
Germany,3,WG2+3,1,9.0909,11
Germany,3,WG3,9,4.4554,202
Germany,4,WG1,45,7.7187,583
Germany,4,WG1+2,1,3.2258,31
Germany,4,WG2,12,3.2000,375
Germany,4,WG3,9,3.5294,255
Germany,5,WG1,48,6.3830,752
Germany,5,WG1+2,1,4.0000,25
Germany,5,WG2,37,5.8360,634
Germany,5,WG3,13,4.9430,263
Ghana,5,WG2,1,0.1577,634
Ghana,5,WG3,2,0.7605,263
Greece,3,WG1,1,0.1773,564
Greece,4,WG2,1,0.2667,375
Greece,4,WG3,1,0.3922,255
Greece,5,WG2,3,0.4732,634
Greece,5,WG3,1,0.3802,263
Guatemala,5,WG2,1,0.1577,634
Hong Kong,2,WG2,1,0.1969,508
Hong Kong,5,WG3,1,0.3802,263
Hungary,1,WG2,1,0.6536,153
Hungary,2,WG2,4,0.7874,508
Hungary,3,WG3,1,0.4950,202
Hungary,4,WG2,1,0.2667,375
Hungary,4,WG3,2,0.7843,255
Hungary,5,WG1,1,0.1330,752
Hungary,5,WG2+3,1,20.0000,5
Hungary,5,WG3,2,0.7605,263
Iceland,2,WG1,1,0.2604,384
Iceland,2,WG2,1,0.1969,508
Iceland,4,WG2,1,0.2667,375
Iceland,5,WG1,1,0.1330,752
Iceland,5,WG2,1,0.1577,634
India,1,WG1,4,1.7167,233
India,1,WG1+2,1,9.0909,11
India,1,WG2,1,0.6536,153
India,1,WG3,1,1.6667,60
India,2,WG1,5,1.3021,384
India,2,WG2,15,2.9528,508
India,2,WG2+3,2,20.0000,10
India,2,WG3,5,6.1728,81
India,3,WG1,3,0.5319,564
India,3,WG1+2,1,3.4483,29
India,3,WG2,7,1.9391,361
India,3,WG2+3,2,18.1818,11
India,3,WG3,11,5.4455,202
India,4,WG1,7,1.2007,583
India,4,WG2,12,3.2000,375
India,4,WG2+3,1,5.8824,17
India,4,WG3,9,3.5294,255
India,5,WG1,13,1.7287,752
India,5,WG2,15,2.3659,634
India,5,WG3,18,6.8441,263
Indonesia,1,WG2,1,0.6536,153
Indonesia,2,WG2,1,0.1969,508
Indonesia,3,WG2,2,0.5540,361
Indonesia,3,WG3,1,0.4950,202
Indonesia,4,WG2,1,0.2667,375
Indonesia,4,WG3,3,1.1765,255
Indonesia,5,WG1,1,0.1330,752
Iran,4,WG1,2,0.3431,583
Iran,4,WG2,1,0.2667,375
Iran,5,WG1,1,0.1330,752
Iran,5,WG3,1,0.3802,263
Ireland,1,WG2,1,0.6536,153
Ireland,4,WG2,3,0.8000,375
Ireland,4,WG3,1,0.3922,255
Ireland,5,WG1,1,0.1330,752
Ireland,5,WG2,1,0.1577,634
Israel,1,WG2,1,0.6536,153
Israel,2,WG1,1,0.2604,384
Israel,2,WG2,1,0.1969,508
Israel,3,WG2,1,0.2770,361
Israel,3,WG3,1,0.4950,202
Israel,4,WG2,1,0.2667,375
Italy,1,WG3,1,1.6667,60
Italy,2,WG1,3,0.7813,384
Italy,2,WG2,5,0.9843,508
Italy,2,WG3,2,2.4691,81
Italy,3,WG1,5,0.8865,564
Italy,3,WG3,1,0.4950,202
Italy,4,WG1,5,0.8576,583
Italy,4,WG2,4,1.0667,375
Italy,4,WG2+3,1,5.8824,17
Italy,4,WG3,2,0.7843,255
Italy,5,WG1,6,0.7979,752
Italy,5,WG2,11,1.7350,634
Italy,5,WG3,7,2.6616,263
Jamaica,2,WG2,1,0.1969,508
Jamaica,4,WG1,1,0.1715,583
Jamaica,5,WG2,1,0.1577,634
Japan,1,WG1,5,2.1459,233
Japan,1,WG2,5,3.2680,153
Japan,1,WG3,5,8.3333,60
Japan,2,WG1,12,3.1250,384
Japan,2,WG2,21,4.1339,508
Japan,2,WG3,2,2.4691,81
Japan,3,WG1,14,2.4823,564
Japan,3,WG1+2,2,6.8966,29
Japan,3,WG2,7,1.9391,361
Japan,3,WG3,15,7.4257,202
Japan,4,WG1,25,4.2882,583
Japan,4,WG1+2,2,6.4516,31
Japan,4,WG2,7,1.8667,375
Japan,4,WG3,19,7.4510,255
Japan,5,WG1,26,3.4574,752
Japan,5,WG1+2,1,4.0000,25
Japan,5,WG2,17,2.6814,634
Japan,5,WG3,9,3.4221,263
Kazakhstan,3,WG2,1,0.2770,361
Kenya,1,WG1+2,1,9.0909,11
Kenya,1,WG2,1,0.6536,153
Kenya,1,WG3,1,1.6667,60
Kenya,2,WG1,2,0.5208,384
Kenya,2,WG2,12,2.3622,508
Kenya,3,WG1,3,0.5319,564
Kenya,3,WG1+2,1,3.4483,29
Kenya,3,WG2,2,0.5540,361
Kenya,3,WG3,2,0.9901,202
Kenya,4,WG1,4,0.6861,583
Kenya,4,WG2,1,0.2667,375
Kenya,4,WG2+3,1,5.8824,17
Kenya,4,WG3,3,1.1765,255
Kenya,5,WG2,2,0.3155,634
Kenya,5,WG3,1,0.3802,263
Laos,4,WG2,1,0.2667,375
Lithuania,4,WG3,1,0.3922,255
Madagascar,5,WG2,1,0.1577,634
Malawi,2,WG2,1,0.1969,508
Malaysia,2,WG2,1,0.1969,508
Malaysia,3,WG1,1,0.1773,564
Malaysia,3,WG2,1,0.2770,361
Malaysia,3,WG3,1,0.4950,202
Malaysia,4,WG2,2,0.5333,375
Malaysia,5,WG1,1,0.1330,752
Malaysia,5,WG2,2,0.3155,634
Malaysia,5,WG3,2,0.7605,263
Maldives,3,WG2,1,0.2770,361
Maldives,5,WG2,1,0.1577,634
Malta,1,WG3,2,3.3333,60
Malta,3,WG2,1,0.2770,361
Malta,4,WG2,1,0.2667,375
Malta,5,WG2,1,0.1577,634
Mauritius,3,WG2,1,0.2770,361
Mauritius,4,WG2,1,0.2667,375
Mexico,1,WG2,1,0.6536,153
Mexico,2,WG2,3,0.5906,508
Mexico,3,WG1,1,0.1773,564
Mexico,3,WG2,4,1.1080,361
Mexico,3,WG3,2,0.9901,202
Mexico,4,WG1,2,0.3431,583
Mexico,4,WG2,6,1.6000,375
Mexico,4,WG3,5,1.9608,255
Mexico,5,WG1,2,0.2660,752
Mexico,5,WG2,16,2.5237,634
Mexico,5,WG3,8,3.0418,263
Moldova,4,WG2,1,0.2667,375
Moldova,5,WG2,1,0.1577,634
Monaco,4,WG1,1,0.1715,583
Mongolia,4,WG2,1,0.2667,375
Montenegro,5,WG3,1,0.3802,263
Morocco,3,WG2,1,0.2770,361
Morocco,4,WG1,1,0.1715,583
Morocco,4,WG2,2,0.5333,375
Morocco,5,WG1,3,0.3989,752
Morocco,5,WG2,2,0.3155,634
Morocco,5,WG3,2,0.7605,263
Mozambique,4,WG2,1,0.2667,375
N/A,1,WG1,3,1.2876,233
N/A,1,WG1+2,1,9.0909,11
N/A,1,WG2,58,37.9085,153
N/A,2,WG1,1,0.2604,384
N/A,2,WG2,2,0.3937,508
N/A,2,WG3,3,3.7037,81
N/A,3,WG1,10,1.7730,564
N/A,3,WG2,155,42.9363,361
N/A,3,WG3,19,9.4059,202
Namibia,5,WG2,1,0.1577,634
Nepal,1,WG3,1,1.6667,60
Nepal,2,WG2,3,0.5906,508
Nepal,3,WG2,1,0.2770,361
Nepal,4,WG2,1,0.2667,375
Nepal,5,WG2,1,0.1577,634
Netherlands,1,WG1,5,2.1459,233
Netherlands,1,WG2,2,1.3072,153
Netherlands,1,WG3,5,8.3333,60
Netherlands,2,WG1,6,1.5625,384
Netherlands,2,WG1+2,1,4.0000,25
Netherlands,2,WG2,13,2.5591,508
Netherlands,2,WG2+3,1,10.0000,10
Netherlands,2,WG3,4,4.9383,81
Netherlands,3,WG1,10,1.7730,564
Netherlands,3,WG1+2,1,3.4483,29
Netherlands,3,WG2,5,1.3850,361
Netherlands,3,WG3,12,5.9406,202
Netherlands,4,WG1,9,1.5437,583
Netherlands,4,WG2,10,2.6667,375
Netherlands,4,WG2+3,1,5.8824,17
Netherlands,4,WG3,23,9.0196,255
Netherlands,5,WG1,25,3.3245,752
Netherlands,5,WG1+2,2,8.0000,25
Netherlands,5,WG2,12,1.8927,634
Netherlands,5,WG3,10,3.8023,263
New Zealand,1,WG2,4,2.6144,153
New Zealand,1,WG3,3,5.0000,60
New Zealand,2,WG1,3,0.7813,384
New Zealand,2,WG2,10,1.9685,508
New Zealand,3,WG1,4,0.7092,564
New Zealand,3,WG1+2,2,6.8966,29
New Zealand,3,WG2,4,1.1080,361
New Zealand,3,WG3,1,0.4950,202
New Zealand,4,WG1,7,1.2007,583
New Zealand,4,WG1+2,1,3.2258,31
New Zealand,4,WG2,13,3.4667,375
New Zealand,4,WG3,3,1.1765,255
New Zealand,5,WG1,7,0.9309,752
New Zealand,5,WG2,19,2.9968,634
New Zealand,5,WG3,3,1.1407,263
Nigeria,1,WG1,1,0.4292,233
Nigeria,1,WG1+2,1,9.0909,11
Nigeria,1,WG2,2,1.3072,153
Nigeria,2,WG2,1,0.1969,508
Nigeria,3,WG2,4,1.1080,361
Nigeria,3,WG3,1,0.4950,202
Nigeria,4,WG2,3,0.8000,375
Nigeria,4,WG3,3,1.1765,255
Nigeria,5,WG1+2,1,4.0000,25
Nigeria,5,WG2,5,0.7886,634
Norway,1,WG1,3,1.2876,233
Norway,1,WG2,2,1.3072,153
Norway,2,WG1,3,0.7813,384
Norway,2,WG2,4,0.7874,508
Norway,2,WG3,2,2.4691,81
Norway,3,WG1,13,2.3050,564
Norway,3,WG1+3,1,16.6667,6
Norway,3,WG2,3,0.8310,361
Norway,3,WG3,5,2.4752,202
Norway,4,WG1,13,2.2298,583
Norway,4,WG2,1,0.2667,375
Norway,4,WG3,5,1.9608,255
Norway,5,WG1,21,2.7926,752
Norway,5,WG2,18,2.8391,634
Norway,5,WG3,5,1.9011,263
Oman,4,WG3,1,0.3922,255
Oman,5,WG1,1,0.1330,752
Pakistan,2,WG3,1,1.2346,81
Pakistan,5,WG2,1,0.1577,634
Peru,2,WG2,6,1.1811,508
Peru,3,WG3,3,1.4851,202
Peru,4,WG2,1,0.2667,375
Peru,4,WG3,2,0.7843,255
Peru,5,WG2,1,0.1577,634
Philippines,1,WG1+2,1,9.0909,11
Philippines,2,WG2,2,0.3937,508
Philippines,3,WG1,1,0.1773,564
Philippines,3,WG2,2,0.5540,361
Philippines,4,WG2,4,1.0667,375
Philippines,5,WG2,6,0.9464,634
Poland,1,WG1,1,0.4292,233
Poland,1,WG2,1,0.6536,153
Poland,2,WG2,3,0.5906,508
Poland,3,WG1,1,0.1773,564
Poland,3,WG2,1,0.2770,361
Poland,4,WG2,2,0.5333,375
Poland,5,WG2,1,0.1577,634
Poland,5,WG2+3,1,20.0000,5
Portugal,1,WG2,1,0.6536,153
Portugal,3,WG2,2,0.5540,361
Portugal,4,WG2,1,0.2667,375
Portugal,5,WG1,1,0.1330,752
Portugal,5,WG2,1,0.1577,634
Puerto Rico,4,WG2,1,0.2667,375
Qatar,5,WG1,1,0.1330,752
Romania,4,WG1,2,0.3431,583
Romania,5,WG1,1,0.1330,752
Romania,5,WG2,1,0.1577,634
Russian Federation,2,WG1,22,5.7292,384
Russian Federation,2,WG2,13,2.5591,508
Russian Federation,2,WG3,3,3.7037,81
Russian Federation,3,WG1,9,1.5957,564
Russian Federation,3,WG1+2,2,6.8966,29
Russian Federation,3,WG2,7,1.9391,361
Russian Federation,3,WG3,4,1.9802,202
Russian Federation,4,WG1,7,1.2007,583
Russian Federation,4,WG2,6,1.6000,375
Russian Federation,4,WG3,4,1.5686,255
Russian Federation,5,WG1,10,1.3298,752
Russian Federation,5,WG2,10,1.5773,634
Russian Federation,5,WG3,2,0.7605,263
Samoa,3,WG2,1,0.2770,361
Samoa,4,WG2,2,0.5333,375
Samoa,5,WG2,1,0.1577,634
Saudi Arabia,1,WG3,1,1.6667,60
Saudi Arabia,2,WG2,2,0.3937,508
Saudi Arabia,2,WG3,1,1.2346,81
Saudi Arabia,3,WG3,1,0.4950,202
Saudi Arabia,4,WG3,2,0.7843,255
Saudi Arabia,5,WG3,2,0.7605,263
Senegal,2,WG3,1,1.2346,81
Senegal,3,WG2,1,0.2770,361
Senegal,4,WG1,2,0.3431,583
Senegal,4,WG2,2,0.5333,375
Senegal,5,WG1,1,0.1330,752
Senegal,5,WG2,5,0.7886,634
Senegal,5,WG3,1,0.3802,263
Seychelles,3,WG2,1,0.2770,361
Seychelles,4,WG2,2,0.5333,375
Seychelles,5,WG2,1,0.1577,634
Sierra Leone,2,WG2+3,1,10.0000,10
Sierra Leone,4,WG3,1,0.3922,255
Sierra Leone,5,WG2,1,0.1577,634
Singapore,2,WG2,1,0.1969,508
Singapore,3,WG2,1,0.2770,361
Singapore,4,WG2,1,0.2667,375
Singapore,5,WG2,3,0.4732,634
Slovakia,3,WG2,1,0.2770,361
Slovenia,4,WG2,1,0.2667,375
Slovenia,5,WG2,1,0.1577,634
South Africa,2,WG2,4,0.7874,508
South Africa,3,WG1,3,0.5319,564
South Africa,3,WG1+2,1,3.4483,29
South Africa,3,WG3,4,1.9802,202
South Africa,4,WG1,3,0.5146,583
South Africa,4,WG2,7,1.8667,375
South Africa,4,WG3,4,1.5686,255
South Africa,5,WG1,3,0.3989,752
South Africa,5,WG1+2,1,4.0000,25
South Africa,5,WG2,21,3.3123,634
South Africa,5,WG3,4,1.5209,263
South Korea,2,WG3,1,1.2346,81
South Korea,3,WG1,1,0.1773,564
South Korea,3,WG3,1,0.4950,202
South Korea,4,WG1,2,0.3431,583
South Korea,4,WG3,1,0.3922,255
South Korea,5,WG1,6,0.7979,752
South Korea,5,WG1+2,1,4.0000,25
South Korea,5,WG2,2,0.3155,634
South Korea,5,WG3,3,1.1407,263
Spain,2,WG2,2,0.3937,508
Spain,2,WG3,1,1.2346,81
Spain,3,WG1,3,0.5319,564
Spain,4,WG1,3,0.5146,583
Spain,4,WG2,3,0.8000,375
Spain,4,WG3,1,0.3922,255
Spain,5,WG1,12,1.5957,752
Spain,5,WG1+2,1,4.0000,25
Spain,5,WG2,11,1.7350,634
Spain,5,WG3,4,1.5209,263
Sri Lanka,2,WG2,1,0.1969,508
Sri Lanka,2,WG3,1,1.2346,81
Sri Lanka,3,WG2,1,0.2770,361
Sri Lanka,4,WG2,1,0.2667,375
Sri Lanka,4,WG3,1,0.3922,255
Sri Lanka,5,WG2,1,0.1577,634
Sudan,1,WG1,1,0.4292,233
Sudan,4,WG2,2,0.5333,375
Sudan,4,WG3,4,1.5686,255
Sudan,5,WG2,2,0.3155,634
Sudan,5,WG3,4,1.5209,263
Swaziland,5,WG1+2,1,4.0000,25
Sweden,1,WG1,4,1.7167,233
Sweden,2,WG1,3,0.7813,384
Sweden,2,WG1+2,2,8.0000,25
Sweden,2,WG2,7,1.3780,508
Sweden,2,WG3,2,2.4691,81
Sweden,3,WG1,7,1.2411,564
Sweden,3,WG2,4,1.1080,361
Sweden,3,WG3,1,0.4950,202
Sweden,4,WG1,5,0.8576,583
Sweden,4,WG2,7,1.8667,375
Sweden,5,WG1,6,0.7979,752
Sweden,5,WG2,9,1.4196,634
Sweden,5,WG3,2,0.7605,263
Switzerland,1,WG1,5,2.1459,233
Switzerland,1,WG3,2,3.3333,60
Switzerland,2,WG1,4,1.0417,384
Switzerland,2,WG1+2,3,12.0000,25
Switzerland,2,WG2,15,2.9528,508
Switzerland,2,WG3,3,3.7037,81
Switzerland,3,WG1,12,2.1277,564
Switzerland,3,WG2,2,0.5540,361
Switzerland,3,WG3,2,0.9901,202
Switzerland,4,WG1,17,2.9160,583
Switzerland,4,WG1+2,2,6.4516,31
Switzerland,4,WG2,9,2.4000,375
Switzerland,4,WG3,1,0.3922,255
Switzerland,5,WG1,28,3.7234,752
Switzerland,5,WG2,6,0.9464,634
Switzerland,5,WG3,3,1.1407,263
Taiwan,2,WG1,1,0.2604,384
Tanzania,1,WG1,1,0.4292,233
Tanzania,1,WG3,1,1.6667,60
Tanzania,2,WG2,3,0.5906,508
Tanzania,3,WG1,1,0.1773,564
Tanzania,3,WG3,1,0.4950,202
Tanzania,4,WG2,1,0.2667,375
Tanzania,5,WG2,3,0.4732,634
Tanzania,5,WG3,2,0.7605,263
Thailand,1,WG2,1,0.6536,153
Thailand,2,WG2,2,0.3937,508
Thailand,4,WG1,2,0.3431,583
Thailand,4,WG3,1,0.3922,255
Thailand,5,WG3,2,0.7605,263
The Gambia,3,WG2,1,0.2770,361
The Gambia,4,WG1,1,0.1715,583
The Gambia,5,WG2,4,0.6309,634
Trinidad and Tobago,3,WG1,1,0.1773,564
Trinidad and Tobago,4,WG2,2,0.5333,375
Trinidad and Tobago,5,WG2,3,0.4732,634
Trinidad and Tobago,5,WG3,1,0.3802,263
Tunisia,2,WG2,1,0.1969,508
Tunisia,4,WG3,1,0.3922,255
Tunisia,5,WG2,2,0.3155,634
Turkey,4,WG2,1,0.2667,375
Turkey,4,WG2+3,1,5.8824,17
Turkey,5,WG1,1,0.1330,752
Turkmenistan,2,WG2,1,0.1969,508
Uganda,2,WG3,1,1.2346,81
Uganda,3,WG2,1,0.2770,361
Uganda,5,WG3,1,0.3802,263
Ukraine,4,WG2,1,0.2667,375
Ukraine,5,WG2,1,0.1577,634
Ukraine,5,WG3,1,0.3802,263
United Kingdom,1,WG1,42,18.0258,233
United Kingdom,1,WG1+2,1,9.0909,11
United Kingdom,1,WG1+3,1,25.0000,4
United Kingdom,1,WG2,4,2.6144,153
United Kingdom,1,WG3,4,6.6667,60
United Kingdom,2,WG1,40,10.4167,384
United Kingdom,2,WG1+2,3,12.0000,25
United Kingdom,2,WG1+3,1,50.0000,2
United Kingdom,2,WG2,38,7.4803,508
United Kingdom,2,WG2+3,1,10.0000,10
United Kingdom,2,WG3,3,3.7037,81
United Kingdom,3,WG1,54,9.5745,564
United Kingdom,3,WG1+2,5,17.2414,29
United Kingdom,3,WG2,20,5.5402,361
United Kingdom,3,WG2+3,1,9.0909,11
United Kingdom,3,WG3,15,7.4257,202
United Kingdom,4,WG1,74,12.6930,583
United Kingdom,4,WG1+2,6,19.3548,31
United Kingdom,4,WG2,44,11.7333,375
United Kingdom,4,WG2+3,2,11.7647,17
United Kingdom,4,WG3,11,4.3137,255
United Kingdom,5,WG1,111,14.7606,752
United Kingdom,5,WG1+2,2,8.0000,25
United Kingdom,5,WG2,67,10.5678,634
United Kingdom,5,WG3,18,6.8441,263
