ar,wg,chapter,Total,country_id,Country
5,2,22,1,35,France
5,2,22,1,37,Ghana
5,2,22,1,44,India
5,2,22,1,47,Ireland
5,2,22,1,58,Madagascar
5,2,22,1,64,Mexico
5,2,22,1,71,Namibia
5,2,22,1,107,Netherlands
5,2,22,1,100,Swaziland
5,2,22,1,110,Tunisia
5,2,22,1,123,Zimbabwe
5,2,23,7,49,Italy
5,2,23,7,117,United Kingdom
5,2,23,4,36,Germany
5,2,23,4,107,Netherlands
5,2,23,3,35,France
5,2,23,2,7,Austria
5,2,23,2,34,Finland
5,2,23,2,38,Greece
5,2,23,1,65,Moldova
5,2,23,1,82,Poland
5,2,23,1,86,Russian Federation
5,2,23,1,94,Slovenia
5,2,23,1,97,Spain
5,2,23,1,102,Switzerland
5,2,24,6,51,Japan
5,2,24,5,23,China
5,2,24,4,44,India
5,2,24,3,81,Philippines
5,2,24,3,113,USA
5,2,24,2,86,Russian Federation
5,2,24,1,8,Bangladesh
5,2,24,1,60,Malaysia
5,2,24,1,92,Singapore
5,2,24,1,101,Sweden
5,2,24,1,121,Vietnam
5,2,25,31,6,Australia
5,2,25,14,73,New Zealand
5,2,25,1,34,Finland
5,2,25,1,113,USA
5,2,26,20,113,USA
5,2,26,7,20,Canada
5,2,26,6,64,Mexico
5,2,26,1,6,Australia
5,2,26,1,44,India
5,2,26,1,97,Spain
5,2,27,9,16,Brazil
5,2,27,4,5,Argentina
5,2,27,4,35,France
5,2,27,2,22,Chile
5,2,27,2,64,Mexico
5,2,27,2,97,Spain
5,2,27,1,24,Colombia
5,2,27,1,25,Costa Rica
5,2,27,1,36,Germany
5,2,27,1,39,Guatemala
5,2,27,1,117,United Kingdom
5,2,27,1,113,USA
5,2,27,1,120,Venezuela
5,2,28,5,20,Canada
5,2,28,5,75,Norway
5,2,28,5,117,United Kingdom
5,2,28,5,113,USA
5,2,28,3,6,Australia
5,2,28,2,86,Russian Federation
5,2,28,1,34,Finland
5,2,28,1,43,Iceland
5,2,29,3,109,Trinidad and Tobago
5,2,29,2,117,United Kingdom
5,2,29,1,6,Australia
5,2,29,1,9,Barbados
5,2,29,1,20,Canada
5,2,29,1,33,Fiji
5,2,29,1,35,France
5,2,29,1,51,Japan
5,2,29,1,62,Malta
5,2,29,1,73,New Zealand
5,2,29,1,87,Samoa
5,2,29,1,90,Seychelles
5,2,3,4,36,Germany
5,2,3,2,20,Canada
5,2,3,2,23,China
5,2,3,2,51,Japan
5,2,3,1,7,Austria
5,2,3,1,64,Mexico
5,2,3,1,107,Netherlands
5,2,3,1,82,Poland
5,2,3,1,92,Singapore
5,2,3,1,97,Spain
5,2,3,1,104,Tanzania
5,2,3,1,117,United Kingdom
5,2,3,1,113,USA
5,2,3,1,120,Venezuela
5,2,30,10,113,USA
5,2,30,5,6,Australia
5,2,30,4,20,Canada
5,2,30,3,23,China
5,2,30,3,75,Norway
5,2,30,2,117,United Kingdom
5,2,30,1,33,Fiji
5,2,30,1,69,Morocco
5,2,30,1,89,Senegal
5,2,30,1,95,South Africa
5,2,30,1,96,South Korea
5,2,4,11,113,USA
5,2,4,5,36,Germany
5,2,4,5,117,United Kingdom
5,2,4,3,35,France
5,2,4,2,6,Australia
5,2,4,2,95,South Africa
5,2,4,2,102,Switzerland
5,2,4,1,5,Argentina
5,2,4,1,16,Brazil
5,2,4,1,64,Mexico
5,2,4,1,97,Spain
5,2,5,5,117,United Kingdom
5,2,5,4,113,USA
5,2,5,2,51,Japan
5,2,5,2,107,Netherlands
5,2,5,2,97,Spain
5,2,5,1,6,Australia
5,2,5,1,35,France
5,2,5,1,36,Germany
5,2,5,1,38,Greece
5,2,5,1,69,Morocco
5,2,5,1,83,Portugal
5,2,5,1,92,Singapore
5,2,5,1,96,South Korea
5,2,5,1,101,Sweden
5,2,6,10,113,USA
5,2,6,5,36,Germany
5,2,6,3,6,Australia
5,2,6,3,35,France
5,2,6,3,86,Russian Federation
5,2,6,3,117,United Kingdom
5,2,6,2,20,Canada
5,2,6,2,64,Mexico
5,2,6,2,75,Norway
5,2,6,1,51,Japan
5,2,6,1,73,New Zealand
5,2,6,1,95,South Africa
5,2,6,1,97,Spain
5,2,6,1,116,Ukraine
5,2,7,5,117,United Kingdom
5,2,7,5,113,USA
5,2,7,1,5,Argentina
5,2,7,1,6,Australia
5,2,7,1,23,China
5,2,7,1,28,Denmark
5,2,7,1,34,Finland
5,2,7,1,44,India
5,2,7,1,49,Italy
5,2,7,1,72,Nepal
5,2,7,1,78,Pakistan
5,2,7,1,95,South Africa
5,2,8,4,117,United Kingdom
5,2,8,2,44,India
5,2,8,2,113,USA
5,2,8,1,24,Colombia
5,2,8,1,35,France
5,2,8,1,50,Jamaica
5,2,8,1,64,Mexico
5,2,8,1,95,South Africa
5,2,8,1,104,Tanzania
5,2,9,3,44,India
5,2,9,3,117,United Kingdom
5,2,9,3,113,USA
5,2,9,2,95,South Africa
5,2,9,2,97,Spain
5,2,9,1,7,Austria
5,2,9,1,16,Brazil
5,2,9,1,22,Chile
5,2,9,1,50,Jamaica
5,2,9,1,51,Japan
5,2,9,1,72,Nepal
5,2,9,1,89,Senegal
5,2,9,1,102,Switzerland
5,2,9,1,110,Tunisia
5,2,SPM,17,113,USA
5,2,SPM,8,117,United Kingdom
5,2,SPM,7,6,Australia
5,2,SPM,4,36,Germany
5,2,SPM,3,44,India
5,2,SPM,3,51,Japan
5,2,SPM,2,5,Argentina
5,2,SPM,2,20,Canada
5,2,SPM,2,23,China
5,2,SPM,2,73,New Zealand
5,2,SPM,2,86,Russian Federation
5,2,SPM,2,97,Spain
5,2,SPM,1,9,Barbados
5,2,SPM,1,16,Brazil
5,2,SPM,1,26,Cuba
5,2,SPM,1,28,Denmark
5,2,SPM,1,30,Egypt
5,2,SPM,1,43,Iceland
5,2,SPM,1,49,Italy
5,2,SPM,1,60,Malaysia
5,2,SPM,1,64,Mexico
5,2,SPM,1,71,Namibia
5,2,SPM,1,75,Norway
5,2,SPM,1,89,Senegal
5,2,SPM,1,92,Singapore
5,2,SPM,1,95,South Africa
5,2,SPM,1,101,Sweden
5,2,SPM,1,106,The Gambia
5,2,SPM,1,120,Venezuela
5,3,1,2,7,Austria
5,3,1,1,23,China
5,3,1,1,30,Egypt
5,3,1,1,44,India
5,3,1,1,51,Japan
5,3,1,1,107,Netherlands
5,3,1,1,88,Saudi Arabia
5,3,1,1,113,USA
5,3,1,1,122,Zambia
5,3,10,3,117,United Kingdom
5,3,10,2,5,Argentina
5,3,10,2,113,USA
5,3,10,1,17,Bulgaria
5,3,10,1,23,China
5,3,10,1,30,Egypt
5,3,10,1,35,France
5,3,10,1,36,Germany
5,3,10,1,44,India
5,3,10,1,49,Italy
5,3,10,1,51,Japan
5,3,10,1,64,Mexico
5,3,11,2,6,Australia
5,3,11,2,16,Brazil
5,3,11,1,7,Austria
5,3,11,1,23,China
5,3,11,1,44,India
5,3,11,1,46,Iran
5,3,11,1,49,Italy
5,3,11,1,64,Mexico
5,3,11,1,107,Netherlands
5,3,11,1,73,New Zealand
5,3,11,1,75,Norway
5,3,11,1,86,Russian Federation
5,3,11,1,89,Senegal
5,3,11,1,99,Sudan
5,3,11,1,102,Switzerland
5,3,11,1,104,Tanzania
5,3,11,1,117,United Kingdom
5,3,11,1,113,USA
5,3,12,5,113,USA
5,3,12,2,44,India
5,3,12,1,23,China
5,3,12,1,26,Cuba
5,3,12,1,41,Hong Kong
5,3,12,1,51,Japan
5,3,12,1,64,Mexico
5,3,12,1,75,Norway
5,3,12,1,95,South Africa
5,3,12,1,104,Tanzania
5,3,12,1,105,Thailand
5,3,12,1,115,Uganda
5,3,13,5,113,USA
5,3,13,2,23,China
5,3,13,2,107,Netherlands
5,3,13,1,5,Argentina
5,3,13,1,20,Canada
5,3,13,1,36,Germany
5,3,13,1,64,Mexico
5,3,13,1,95,South Africa
5,3,13,1,96,South Korea
5,3,13,1,102,Switzerland
5,3,13,1,117,United Kingdom
5,3,14,2,7,Austria
5,3,14,2,36,Germany
5,3,14,2,117,United Kingdom
5,3,14,2,113,USA
5,3,14,1,6,Australia
5,3,14,1,25,Costa Rica
5,3,14,1,26,Cuba
5,3,14,1,28,Denmark
5,3,14,1,35,France
5,3,14,1,64,Mexico
5,3,14,1,69,Morocco
5,3,14,1,96,South Korea
5,3,14,1,102,Switzerland
5,3,14,1,116,Ukraine
5,3,15,2,44,India
5,3,15,2,51,Japan
5,3,15,1,16,Brazil
5,3,15,1,22,Chile
5,3,15,1,23,China
5,3,15,1,33,Fiji
5,3,15,1,36,Germany
5,3,15,1,37,Ghana
5,3,15,1,73,New Zealand
5,3,15,1,82,Poland
5,3,15,1,97,Spain
5,3,15,1,99,Sudan
5,3,15,1,101,Sweden
5,3,15,1,117,United Kingdom
5,3,15,1,113,USA
5,3,15,1,123,Zimbabwe
5,3,16,3,113,USA
5,3,16,2,49,Italy
5,3,16,1,8,Bangladesh
5,3,16,1,16,Brazil
5,3,16,1,20,Canada
5,3,16,1,24,Colombia
5,3,16,1,26,Cuba
5,3,16,1,34,Finland
5,3,16,1,36,Germany
5,3,16,1,44,India
5,3,16,1,69,Morocco
5,3,16,1,97,Spain
5,3,16,1,122,Zambia
5,3,2,3,113,USA
5,3,2,2,7,Austria
5,3,2,2,44,India
5,3,2,1,26,Cuba
5,3,2,1,35,France
5,3,2,1,36,Germany
5,3,2,1,49,Italy
5,3,2,1,107,Netherlands
5,3,2,1,99,Sudan
5,3,3,3,113,USA
5,3,3,2,75,Norway
5,3,3,1,5,Argentina
5,3,3,1,6,Australia
5,3,3,1,7,Austria
5,3,3,1,8,Bangladesh
5,3,3,1,35,France
5,3,3,1,53,Kenya
5,3,3,1,64,Mexico
5,3,3,1,95,South Africa
5,3,3,1,101,Sweden
5,3,3,1,109,Trinidad and Tobago
5,3,3,1,117,United Kingdom
5,3,4,5,113,USA
5,3,4,2,16,Brazil
5,3,4,1,7,Austria
5,3,4,1,23,China
5,3,4,1,28,Denmark
5,3,4,1,35,France
5,3,4,1,44,India
5,3,4,1,60,Malaysia
5,3,4,1,97,Spain
5,3,4,1,117,United Kingdom
5,3,5,2,44,India
5,3,5,2,107,Netherlands
5,3,5,2,113,USA
5,3,5,1,5,Argentina
5,3,5,1,6,Australia
5,3,5,1,10,Belgium
5,3,5,1,15,Botswana
5,3,5,1,16,Brazil
5,3,5,1,20,Canada
5,3,5,1,23,China
5,3,5,1,26,Cuba
5,3,5,1,37,Ghana
5,3,5,1,42,Hungary
5,3,5,1,67,Montenegro
5,3,5,1,117,United Kingdom
5,3,6,6,113,USA
5,3,6,3,36,Germany
5,3,6,2,23,China
5,3,6,2,107,Netherlands
5,3,6,1,35,France
5,3,6,1,44,India
5,3,6,1,49,Italy
5,3,6,1,51,Japan
5,3,6,1,88,Saudi Arabia
5,3,7,5,117,United Kingdom
5,3,7,3,113,USA
5,3,7,2,44,India
5,3,7,1,6,Australia
5,3,7,1,7,Austria
5,3,7,1,23,China
5,3,7,1,36,Germany
5,3,7,1,51,Japan
5,3,7,1,64,Mexico
5,3,7,1,107,Netherlands
5,3,7,1,75,Norway
5,3,7,1,86,Russian Federation
5,3,7,1,96,South Korea
5,3,7,1,99,Sudan
5,3,7,1,105,Thailand
5,3,8,4,113,USA
5,3,8,3,16,Brazil
5,3,8,2,36,Germany
5,3,8,1,6,Australia
5,3,8,1,23,China
5,3,8,1,28,Denmark
5,3,8,1,44,India
5,3,8,1,51,Japan
5,3,8,1,64,Mexico
5,3,8,1,73,New Zealand
5,3,8,1,117,United Kingdom
5,3,9,3,113,USA
5,3,9,2,20,Canada
5,3,9,2,42,Hungary
5,3,9,1,5,Argentina
5,3,9,1,16,Brazil
5,3,9,1,23,China
5,3,9,1,38,Greece
5,3,9,1,44,India
5,3,9,1,49,Italy
5,3,9,1,51,Japan
5,3,9,1,60,Malaysia
5,3,9,1,95,South Africa
5,3,9,1,97,Spain
5,3,9,1,117,United Kingdom
